  BL0B  [hex_]  2686984 (bytes 00 29 00 08 11 6f 0a e8 34 45 22 d0 15 91 f3 a0 1a 12 f0 08 f4 36 f1 c7 00 e1 00 03 40 d3 00 22)
  BL0C  [hex_]  1796303633 (bytes 6b 11 6b 11 6f 11 00 00 99 0b e8 0a 4f 0c ff 7f 67 01 45 34 d0 22 91 15 a0 f3 36 f4)
  BL0D  [hex_]  0 (bytes 00 00 00 00 01 00 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BLCC  [ui16]  44032 (bytes ac 00)
  BLCM  [si16]  -6134 (bytes e8 0a)
  BLCR  [ui8 ]  0 (bytes 00)
  BLCX  [si16]  28433 (bytes 6f 11)
  BLH0  [ui32]  0 (bytes 00 00 00 00)
  BLH1  [ui32]  1074528256 (bytes 40 0c 00 00)
  BLH2  [ui32]  788594688 (bytes 2f 01 00 00)
  BLH3  [ui32]  150994944 (bytes 09 00 00 00)
  BLIC  [si16]  -28395 (bytes 91 15)
  BLID  [si16]  -24333 (bytes a0 f3)
  BLPM  [si16]  -12254 (bytes d0 22)
  BLPX  [si16]  17716 (bytes 45 34)
  BLTA  [si16]  -7936 (bytes e1 00)
  BLTM  [si16]  2048 (bytes 08 00)
  BLTO  [ui32]  221511680 (bytes 0d 34 00 00)
  BLTS  [si32]  -750779648 (bytes d3 40 03 00)
  BLTX  [si16]  10496 (bytes 29 00)
  BMCD  [ui16]  0 (bytes 00 00)
  BMDA  [ch8*]  (bytes 00 00 00 00 0b 00 01 00 55 1d 00 00 04 33 35 31 33 03 30 30 34 03 41 54 4c 00 1f 00 00 00 00 00)
  BMDB  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BMDN  [ch8*]  (bytes 62 71 34 30 7a 36 35 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BMDT  [ch8*]  (bytes 33 33 30 31 30 34 00)
  BMSC  [ui8 ]  100 (bytes 64)
  BMSN  [ch8*]  (bytes 46 35 44 48 43 59 30 30 31 4d 38 30 30 30 30 47 34 35 00 00 00)
  BMW1  [ch8*]  (bytes 00 00 00 00)
  BMW2  [ch8*]  (bytes 00 00 00 00)
  BNCB  [si8 ]  3 (bytes 03)
  BNSC  [ui8 ]  35 (bytes 23)
  BPCC  [hex_]  257 (bytes 01 01)
  BPEX  [hex_]  0 (bytes 00)
  BQCC  [si16]  28928 (bytes 71 00)
  BQD1  [ui16]  3 (bytes 00 03)
  BQD2  [ui16]  6147 (bytes 18 03)
  BQD3  [ui16]  12291 (bytes 30 03)
  BQX1  [ui16]  59409 (bytes e8 11)
