  BDFV  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  BFC1  [ui16]  27934 (bytes 6d 1e)
  BFC2  [ui16]  39709 (bytes 9b 1d)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BFLV  [ui8 ]  0 (bytes 00)
  BFS0  [ui8 ]  1 (bytes 01)
  BFWC  [ui16]  43064 (bytes a8 38)
  BHT0  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT1  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT2  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT3  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT4  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT5  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT6  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT7  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT8  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT9  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTA  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTB  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTL  [flag]  false (bytes 00)
  BIMX  [ui16]  55631 (bytes d9 4f)
  BIPD  [ui16]  17408 (bytes 44 00)
  BISS  [si16]  -7425 (bytes e2 ff)
  BITV  [ui16]  10275 (bytes 28 23)
  BL0A  [hex_]  111398197 (bytes 06 a3 cd 35 00 01 fd 40 00 00 00 00 00 00 00 00 06 a5 ca 75 00 00 c7 e4 40 12 00 00 00 00 00 00)
  BL0B  [hex_]  2752525 (bytes 00 2a 00 0d 10 fb 0d 6e 32 e6 28 5e 25 14 d7 10 2d d4 d3 1e d7 10 d3 1e 00 ee 00 07 90 42 00 03)
  BL0C  [hex_]  4195416848 (bytes fa 10 fb 10 fb 10 00 00 7e 0d 6e 0d 6e 0d ff 7f e7 00 e6 32 5e 28 14 25 10 d7 10 d7)
